datetime,date,time,price,volume
20220225 160014,20220225,160014,12.0,1
20220225 160014,20220225,160014,12.0,1
20220225 160105,20220225,160105,12.5,1
20220225 160105,20220225,160105,12.5,1
20220225 160207,20220225,160207,12.0,1
20220225 160207,20220225,160207,12.0,1
20220225 160316,20220225,160316,12.0,2
20220225 160316,20220225,160316,12.0,2
20220225 160328,20220225,160328,12.0,1
20220225 160328,20220225,160328,12.0,1
20220225 160430,20220225,160430,12.0,2
20220225 160430,20220225,160430,12.0,1
20220225 160430,20220225,160430,12.0,1
20220225 160505,20220225,160505,12.0,2
20220225 160505,20220225,160505,12.0,2
20220225 160638,20220225,160638,12.0,1
20220225 160638,20220225,160638,12.0,1
20220225 160642,20220225,160642,11.5,50
20220225 160642,20220225,160642,11.5,1
20220225 160642,20220225,160642,11.5,1
20220225 160642,20220225,160642,11.5,26
20220225 160642,20220225,160642,11.5,22
20220225 160647,20220225,160647,11.5,1
20220225 160647,20220225,160647,11.5,1
20220225 160710,20220225,160710,11.0,9
20220225 160710,20220225,160710,11.0,1
20220225 160710,20220225,160710,11.0,1
20220225 160710,20220225,160710,11.0,1
20220225 160710,20220225,160710,11.0,1
20220225 160710,20220225,160710,11.0,1
20220225 160710,20220225,160710,11.0,1
20220225 160710,20220225,160710,11.0,2
20220225 160710,20220225,160710,11.0,1
20220225 160719,20220225,160719,11.0,1
20220225 160719,20220225,160719,11.0,1
20220225 160731,20220225,160731,10.5,1
20220225 160731,20220225,160731,10.5,1
20220225 160741,20220225,160741,10.0,9
20220225 160741,20220225,160741,10.0,1
20220225 160741,20220225,160741,10.0,2
20220225 160741,20220225,160741,10.0,4
20220225 160741,20220225,160741,10.0,2
20220225 160741,20220225,160741,10.5,2
20220225 160741,20220225,160741,10.5,2
20220225 160747,20220225,160747,10.0,1
20220225 160747,20220225,160747,10.0,1
20220225 160747,20220225,160747,10.0,1
20220225 160747,20220225,160747,10.0,1
20220225 160754,20220225,160754,10.0,20
20220225 160754,20220225,160754,10.0,6
20220225 160754,20220225,160754,10.0,14
20220225 160756,20220225,160756,10.0,8
20220225 160756,20220225,160756,10.0,6
20220225 160756,20220225,160756,10.0,2
20220225 160801,20220225,160801,9.9,1
20220225 160801,20220225,160801,9.9,1
20220225 160801,20220225,160801,9.9,4
20220225 160801,20220225,160801,9.9,4
20220225 160801,20220225,160801,9.9,6
20220225 160801,20220225,160801,9.9,6
20220225 160801,20220225,160801,9.9,14
20220225 160801,20220225,160801,9.9,14
20220225 160821,20220225,160821,9.6,2
20220225 160821,20220225,160821,9.6,1
20220225 160821,20220225,160821,9.6,1
20220225 160827,20220225,160827,9.9,1
20220225 160827,20220225,160827,9.9,1
20220225 160845,20220225,160845,10.0,1
20220225 160845,20220225,160845,10.0,1
20220225 160901,20220225,160901,10.0,8
20220225 160901,20220225,160901,10.0,8
20220225 160901,20220225,160901,10.0,10
20220225 160901,20220225,160901,10.0,10
20220225 160901,20220225,160901,9.9,1
20220225 160901,20220225,160901,9.9,1
20220225 160934,20220225,160934,10.5,31
20220225 160934,20220225,160934,10.5,31
20220225 160934,20220225,160934,10.5,11
20220225 160934,20220225,160934,10.5,11
20220225 161014,20220225,161014,10.0,41
20220225 161014,20220225,161014,10.0,28
20220225 161014,20220225,161014,10.0,13
20220225 161016,20220225,161016,11.0,1
20220225 161016,20220225,161016,11.0,1
20220225 161017,20220225,161017,10.0,4
20220225 161017,20220225,161017,10.0,2
20220225 161017,20220225,161017,10.0,1
20220225 161017,20220225,161017,10.0,1
20220225 161050,20220225,161050,10.0,1
20220225 161050,20220225,161050,10.0,1
20220225 161050,20220225,161050,10.0,1
20220225 161050,20220225,161050,10.0,1
20220225 161052,20220225,161052,10.0,1
20220225 161052,20220225,161052,10.0,1
20220225 161109,20220225,161109,10.0,1
20220225 161109,20220225,161109,10.0,1
20220225 161118,20220225,161118,10.0,1
20220225 161118,20220225,161118,10.0,1
20220225 161120,20220225,161120,10.0,20
20220225 161120,20220225,161120,10.0,1
20220225 161120,20220225,161120,10.0,10
20220225 161120,20220225,161120,10.0,5
20220225 161120,20220225,161120,10.0,4
20220225 161120,20220225,161120,10.0,1
20220225 161120,20220225,161120,10.0,1
20220225 161134,20220225,161134,9.9,1
20220225 161134,20220225,161134,9.9,1
20220225 161144,20220225,161144,9.7,3
20220225 161144,20220225,161144,9.7,3
20220225 161147,20220225,161147,10.0,1
20220225 161147,20220225,161147,10.0,1
20220225 161158,20220225,161158,10.0,1
20220225 161158,20220225,161158,10.0,1
20220225 161203,20220225,161203,10.0,1
20220225 161203,20220225,161203,10.0,1
20220225 161209,20220225,161209,9.9,3
20220225 161209,20220225,161209,9.9,3
20220225 161238,20220225,161238,9.8,15
20220225 161238,20220225,161238,9.8,10
20220225 161238,20220225,161238,9.8,5
20220225 161309,20220225,161309,10.5,2
20220225 161309,20220225,161309,10.5,2
20220225 161315,20220225,161315,10.0,5
20220225 161315,20220225,161315,10.0,5
20220225 161329,20220225,161329,10.0,2
20220225 161329,20220225,161329,10.0,1
20220225 161329,20220225,161329,10.0,1
20220225 161410,20220225,161410,10.5,10
20220225 161410,20220225,161410,10.5,10
20220225 161455,20220225,161455,10.5,1
20220225 161455,20220225,161455,10.5,1
20220225 161512,20220225,161512,10.5,2
20220225 161512,20220225,161512,10.5,2
20220225 161528,20220225,161528,10.0,1
20220225 161528,20220225,161528,10.0,1
20220225 161539,20220225,161539,10.5,2
20220225 161539,20220225,161539,10.5,2
20220225 161542,20220225,161542,10.0,1
20220225 161542,20220225,161542,10.0,1
20220225 161542,20220225,161542,10.0,2
20220225 161542,20220225,161542,10.0,2
20220225 161542,20220225,161542,10.0,3
20220225 161542,20220225,161542,10.0,3
20220225 161545,20220225,161545,9.9,1
